client_id,ragione_sociale,alias,agent_id,indirizzo,citta
C001,Mario Rossi S.r.l.,Bar Mario,AG001,Via Roma 10,Milano
C002,Pizzeria da Gigio di Luigi B.,Gigio,AG001,Corso Italia 22,Milano
C003,Bevande e Bollicine S.p.A.,B&B,AG002,Zona Industriale,Paderno
C004,Beck's Corner Pub,Il Pubbe,AG001,Viale Abruzzi 101,Milano
C005,Ristorante Peroni & Figli,Da Peroni,AG001,Piazza Duomo 1,Milano
C006,Trattoria della Nonna S.n.c.,Da Nonna,AG002,Via Garibaldi 5,Bergamo
C007,Osteria del Porto di Luca M.,Il Porto,AG001,Via dei Pescatori 3,Genova
C008,Sport Bar Olimpia Fan Club,Bar Olimpia,AG002,Corso Re Umberto 72,Torino
C009,Grand Hotel Excelsior S.r.l.,Excelsior,AG001,Lungomare Italia 1,Rimini
C010,Enoteca Toscana di Bianchi R.,L'Enoteca,AG002,Via dei Chianti 18,Firenze
C011,Birrificio Artigianale Alpine S.n.c.,Alpine Brew,AG001,Via Alpina 34,Trento
C012,Ristorante Il Sole Mio S.r.l.,Il Sole,AG002,Via Napoli 9,Napoli
C013,Discoteca Paradiso di Conti P.,Paradiso,AG001,Viale Europa 200,Riccione
C014,Albergo Ristorante Montefiore,Montefiore,AG002,Strada Statale 16,Pesaro
C015,Pizzeria Vesuvio & Co.,Vesuvio,AG001,Piazza Dante 7,Napoli
C016,Bar Centrale di Colombo A.,Bar Centrale,AG001,Corso Buenos Aires 14,Milano
C017,Trattoria La Pergola S.n.c.,La Pergola,AG002,Via Volta 8,Como
C018,Pub The Red Lion di Harris M.,Red Lion,AG001,Via Torino 55,Milano
C019,Caffè Ambrosiano S.r.l.,Ambrosiano,AG002,Corso Matteotti 3,Varese
C020,Pizzeria Bella Napoli di Esposito,Bella Napoli,AG001,Via Roma 21,Binasco
C021,Ristorante Al Lago S.r.l.,Al Lago,AG002,Lungolario Trieste 9,Como
C022,Enoteca Lombarda di Ferretti G.,Enoteca Ferretti,AG001,Via Brera 7,Milano
C023,Birreria Artigianale MaltaMia,MaltaMia,AG002,Via Luini 12,Varese
C024,Hotel Ristorante Villa Rosa S.r.l.,Villa Rosa,AG001,Via Garibaldi 33,Binasco
C025,Osteria del Naviglio di Sala R.,Del Naviglio,AG002,Alzaia Naviglio Grande 44,Milano
C026,Bar Sport di Brambilla L.,Bar Brambilla,AG001,Piazza Cavour 2,Como
C027,Trattoria I Tigli S.n.c.,I Tigli,AG002,Via Dandolo 17,Varese
C028,Pizzeria Da Zio Carlo,Da Zio Carlo,AG001,Via Mazzini 6,Binasco
C029,Cocktail Bar Viveur,Viveur,AG002,Corso Sempione 88,Milano
C030,Ristorante Il Portico di Pozzi F.,Il Portico,AG001,Via Plinio 5,Como
C031,Caffetteria San Giovanni S.n.c.,San Giovanni,AG002,Via Cavour 19,Varese
C032,Pub Celtic Cross di O'Brien K.,Celtic Cross,AG001,Via Vigevano 30,Milano
C033,Agriturismo Cascina Moretti,Cascina Moretti,AG002,Via Cascina Nuova 1,Binasco
